Judul Lagu,Penyanyi,Genre,Lirik Lagu,Tahun Rilis,Label Emosi
tak seindah malam kemarin,bagindas,Pop,"Hati ini tak menyangka
Bila akhirnya kautinggalkanku
Tak tertahan luka ini
Ku menangis, tak kuasa
'Tuk menahan pedihnya hatiku
Tanpa ada kata kau meninggalkanku
Menyisakan luka di hatiku
Betapa sakitnya relung batinku
Merasakan hilangnya cintamu
Malam ini tak seperti malam kemarin saat kaupeluk aku
Malam ini tak seperti malam kemarin saat kau bersamaku
Malam ini tak seindah malam kemarin
Jiwa ini tak menduga
Bila ku harus kehilanganmu
Tak tertahan luka ini
Ku menangis, tak kuasa
'Tuk menahan pedihnya hatiku
Tanpa ada kata kau meninggalkanku
Menyisakan luka di hatiku
Betapa sakitnya relung batinku
Merasakan hilangnya cintamu
Malam ini tak seperti malam kemarin saat kaupeluk aku
Malam ini tak seperti malam kemarin saat kau bersamaku
Malam ini tak seindah malam kemarin
Tanpa ada kata kau meninggalkanku
Menyisakan luka di hatiku
Betapa sakitnya relung batinku
Merasakan hilangnya cintamu
Malam ini tak seperti malam kemarin saat kaupeluk aku
Malam ini tak seperti malam kemarin saat kau bersamaku
Malam ini tak seindah malam kemarin, ho-oh, wo-wo
Malam ini tak seperti malam kemarin
Ho, malam ini tak seindah
Malam kemarin",2010,sedih
pacar rahasia,cappucino,Pop,"Kau yang t'lah berdua ternyata
Masih inginkanku
Walau ku tahu ini salah
Apa daya, ku t'lah cinta
Kamu datang padaku bertanya
Maukah ku jadi yang kedua
Menjadi pacar rahasia
Lalu aku pun terima
Meski harus terbagi
Percayalah, aku tak peduli
Kelak kau pun mengerti
Akulah yang terbaik
Tinggalkan saja dia
Biarlah aku menjadi yang pertama
Bersamaku pasti 'kan lebih bahagia
Ta-ta-tapi jangan sampai dia curiga
Gantilah namaku di handphone-mu
Buat seolah ku tak ada
Di antara kau dan dia, oh
Meski harus terbagi
Percayalah, aku tak peduli
Kelak kau pun mengerti
Akulah yang terbaik, oh
Tinggalkan saja dia
Biarlah aku menjadi yang pertama
Bersamaku pasti 'kan lebih bahagia
Meski harus terbagi
Aku tak peduli
Kelak kau pun mengerti
Akulah yang terbaik
Tinggalkan saja dia
Biarlah aku menjadi yang pertama
Bersamaku pasti 'kan lebih bahagia",2010,marah
untukku,kahitna,Pop,"Disaat engkau disana
Kadang langit terasa gelapnya

Kemana langkahku pergi
Slalu ada bayangmu
Ku yakin makna nurani
Kau takkan pernah terganti

Saat lautan kau sebrangi
Janganlah ragu bersauh
Ku percaya hati kecilku
Kau takkan berpaling

Walau keujung dunia, pasti akan kunanti
Meski ke tujuh samudra, pasti ku kan menunggu
Karena ku yakin, kau hanya untukku

Saat lautan kau sebrangi
Janganlah ragu bersauh
Ku yakin makna nurani
Kau takkan pernah terganti

Pandanglah bintang berpijar
Kau tak pernah tersembunyi
Dimana engkau berada
Disana cintaku

Disaat engkau disana
Kadang langit terasa gelapnya
Namun bintang kan tunjukan
Rinduku pada dirinya

Walau keujung dunia, pasti akan kunanti
Meski ke tujuh samudra, pasti ku kan menunggu 3x

Karena ku yakin, kau hanya untukku 2x

Hanya untukku 2x",2010,tenang
jatuh bangun,tiket,Pop,"Jatuh bangun aku mengejarmu
Namun dirimu tak mau mengerti
Kubawakan segenggam cinta
Namun kau meminta diriku
Membawakan bulan ke pangkuanmu

Jatuh bangun aku mencintai
Namun dirimu tak mau mengerti
Kutawarkan segelas air
Namun kau meminta lautan
Tak sanggup diriku sungguh tak sanggup

# Sudah tahu luka di dalam dadaku
Sengaja kau siram dengan air garam
Kejamnya sikapmu membakar hatiku
Sehingga cintaku berubah haluan

## Percuma saja berlayar
Kalau kau takut gelombang
Percuma saja bercinta
Kalau kau takut sengsara

Jatuh bangun aku mengejarmu
Namun dirimu tak mau mengerti
Kubawakan segenggam cinta
Namun kau meminta diriku
Membawakan bulan ke pangkuanmu

Repeat #
Repeat ##

Jatuh bangun aku mengejarmu
Namun dirimu tak mau mengerti
Kubawakan segenggam cinta
Namun kau meminta diriku
Membawakan bulan ke pangkuanmu",2010,marah
cinta atau uang,cinta laura,Pop,"Kamu bilang kamu cinta aku
Tapi, di mana cintamu?
Kau hanya memberiku
Menyogokku dengan uang, uang, uang, uang
Kamu salah menilai diriku
Yang kubutuhkan cintamu
Kamu pikir yang aku inginkan hanya uangmu
Love needs money, love needs money
But your money can't buy my love (but your money can't buy my love)
Love needs money, love needs money
But your money can't buy my love (but your money can't buy my love)
Love needs money, love needs money
But your money can't buy my love (but your money can't buy my love)
Love needs money, love needs money
But your money can't buy my love (but your money can't buy my love)
Kamu salah menilai diriku
Yang kubutuhkan cintamu
Kamu pikir yang aku inginkan hanya uangmu
Ku tak butuh uangmu (u-u-uangmu)
I just need your love (ju-ju-just love)
Ku tak butuh rayuanmu (rayuanmu)
I just need your love (need your love)
Love needs money, love needs money
But your money can't buy my love (but your money can't buy my love)
Love needs money, love needs money
But your money can't buy my love (but your money can't buy my love)
Love needs money, love needs money
But your money can't buy my love (but your money can't buy my love)
Love needs money, love needs money
But your money can't buy my love (but your money can't buy my love)
Love needs money
Love needs money
Love needs money
Love needs money",2010,marah
empat mata,bagindas,Pop,"Biarkanlah diri ini
Untuk mencoba mendekatimu
Mendekati indahnya dirimu
Dirimu yang hadir di mimpiku
Berikanlah aku waktu
Dan keadaan yang engkau mampu
Empat mata yang kumau
Untuk katakan cinta padamu, oh-oh-oh
Hati ini takkan bisa
Lebih lama 'tuk memendam rasa
Empat mata bicara padamu
Kukatakan, ""Aku cinta kamu""
Empat mata, ku ingin bertemu
'Tuk ungkapkan isi di hatiku
Berikanlah aku waktu
Dan keadaan yang engkau mampu
Empat mata yang kumau
Untuk katakan cinta padamu, oh-oh-oh
Hati ini takkan bisa
Lebih lama 'tuk memendam rasa
Empat mata bicara padamu
Kukatakan, ""Aku cinta kamu""
Empat mata, ku ingin bertemu
'Tuk ungkapkan isi di hatiku
Oh-oh-oh
Hu-uh-oh-oh-oh
Hati ini takkan bisa
Lebih lama 'tuk memendam rasa
Empat mata bicara padamu
Kukatakan, ""Aku cinta kamu""
Empat mata, ku ingin bertemu
'Tuk ungkapkan isi di hatiku
Empat mata bicara padamu
Kukatakan, ""Aku cinta kamu""
Empat mata, ku ingin bertemu
'Tuk ungkapkan isi di hatiku
Oh-oh-oh",2010,senang
aku padamu,st12,Pop,"Aku padamu
'Ku mencintaimu
Sepenuh hatiku
Cintaku malam ini, sayang
Begitu indah
I'm still in loving you
I'm crazy over you
Cintaku malam ini, sayang
Begitu indah
Cintaku tulus padamu
Sayangku jujur padamu
Cintaku tulus padamu
Sayangku jujur padamu
Biarkanlah saja semua berkata tidak
Yang penting aku padamu
Biarkanlah saja semua berkata tidak
Yang penting aku padamu
Biarkan 'ku menjagamu
Biarkan 'ku memelukmu
Biarkan 'ku menggapaimu
Biarkan 'ku menyentuhmu
I'm still in loving you
I'm crazy over you
Cintaku malam ini, sayang
Begitu indah
Cintaku tulus padamu
Sayangku jujur padamu
Cintaku tulus padamu
Sayangku jujur padamu
Biarkanlah saja semua berkata tidak
Yang penting aku padamu
Biarkanlah saja semua berkata tidak
Yang penting aku padamu
Biarkanlah saja semua berkata tidak
Yang penting aku padamu
Biarkanlah saja semua berkata tidak
Yang penting aku padamu
Biarkan 'ku menjagamu
Biarkan 'ku memelukmu
Biarkan 'ku menggapaimu
Biarkan 'ku menyentuhmu",2010,senang
aku terjatuh,st12,Pop,"Aku terjatuh
Aku terjatuh lagi di pelukanmu
Aku terjatuh
Aku terjatuh lagi di pelukanmu
Oh-ho-oh
Ho-ho, ho-oh-oh
Ah-ah, oh-oh, oh
Ku sadar diri tiada lagi rasa cinta
Namun, diriku tak ingin engkau terluka
Aku terjatuh
Aku terjatuh lagi di pelukanmu
Aku terjatuh
Aku terjatuh lagi di pelukanmu
Sudah kubilang, hapus air mata
Cintaku hilang meninggalkanmu
Kamu t'lah berbeda, tergila-gila
Hidupku terasa, terasa hampa
Sudah kubilang, hapus air mata
Cintaku hilang meninggalkanmu
Kamu t'lah berbeda, tergila-gila
Hidupku terasa, terasa hampa
Aku terjatuh
Aku terjatuh lagi di pelukanmu (di pelukanmu)
Aku terjatuh
Aku terjatuh lagi di pelukanmu, ho
Sudah kubilang, hapus air mata
Cintaku hilang meninggalkanmu
Kamu t'lah berbeda, tergila-gila
Hidupku terasa, terasa hampa
Sudah kubilang, hapus air mata
Cintaku hilang meninggalkanmu
Kamu t'lah berbeda, tergila-gila
Hidupku terasa, terasa hampa
Sudah kubilang, hapus air mata
Cintaku hilang meninggalkanmu
Kamu t'lah berbeda, tergila-gila
Hidupku terasa, terasa hampa, wo",2010,sedih
memeluk bulan,rossa,Pop,"Kau bukanlah untukku
Meski kutahu ku menyayangimu
Cinta tak mungkin terjadi
Di antara kita berdua
Dirimu kini telah bersamanya
Begitu pula aku telah memilikinya
Kini kusadari rasa ini tak mungkin
Dapat terwujud dalam kisah-kasih kita
Kini ku mengerti tulus cinta ini
Hanyalah mimpi panjang yang tak pernah usai
Karena 'tuk bersamamu
Bagaikan berharap memeluk bulan
Dirimu kini telah bersamanya
Begitu pula aku telah memilikinya
Ho-o-o-o-o
Kini kusadari rasa ini tak mungkin
Dapat terwujud dalam kisah-kasih kita
Kini ku mengerti tulus cinta ini
Hanyalah mimpi panjang yang tak pernah usai
Karena 'tuk bersamamu
Bagaikan berharap memeluk bulan
Karena 'tuk bersamamu
Bagaikan berharap memetik bintang",2010,sedih
dua cinta satu hati,calvin jeremy,Pop,"Akhirnya kusadari bila diri ini
Telah masuk dalam permainanmu
Kini kusadari bukan hanya diriku
Yang telah menjadi sandaran hatimu
Dua cinta dalam satu hati
Tak bisa
Aku terima dua cinta
Dalam satu hati
Tak pernah kausadari bila dirimu
Telah menghancurkan perasaanku
Bagaimana tidak? Kekasih yang kusayangi
Kulihat bermanja di peluk yang lain
Dua cinta dalam satu hati
Tak bisa
Aku terima dua cinta
Dalam satu hati
Tiada lagi maaf dariku
Kini ku 'kan pergi tinggalkanmu
Ho-ho
Dua cinta dalam satu hati
Tak bisa
Aku terima dua cinta
Dalam satu hati",2010,marah
lama-lama aku bosan,audy,Pop,"Dia hadir di saat ku jenuh
Dan saat ku butuh dirimu
Tuk berikan rasa rindu
Yang telah lama sirna
Dia selalu memberiku cinta
Dan selalu damaikan jiwaku
Oh nyamannya hatiku
Bila ku bersamanya
Karena dirimu tlah jauh
Bisa bisa aku pergi dari dirimu
Lama lama aku bosan
Bila kamu selalu tinggalkanku
Hampanya diriku jadi tak menentu
Lama lama aku bisa jatuh cinta kepada dirinya
Maafkanlah aku yang tak bisa menunggu dirimu
Rindu rindu yang selalu datang
Dan kini pun telah menghilang
Kau bukanlah lagi seseorang yang ku tunggu
Karena dirimu telah jauh
Bisa bisa aku pergi dari dirimu
Lama lama aku bosan
Bila kamu selalu tinggalkanku
Hampanya diriku jadi tak menentu
Lama lama aku bisa jatuh cinta kepada dirinya
Maafkanlah aku yang tak bisa menunggu dirimu ha aha ha
Lama lama aku bosan
Bila kamu selalu tinggalkanku
Hampanya diriku jadi tak menentu
Lama lama aku bisa jatuh cinta kepada dirinya
Maafkanlah aku yang tak bisa menunggu dirimu
Lama lama aku bisa jatuh cinta kepada dirinya
Maafkanlah aku yang tak bisa menunggu dirimu",2010,sedih
tak setampan romeo,yovie & nuno,Pop,"Mimpikah aku kau ada di sampingku
Yang selama ini jauh dari genggamanku?
Dulu pesimis, merasa ini takkan mungkin
Berharap ini bukan cinta sesaatmu
Mungkin aku tak setampan Romeo
Aku juga tak bergelimang harta
Namun, tak kusangka dapatkan dirimu
Yang lebih indah dari seorang Juliet
Engkau kini bagaikan putri yang terindah
Menghiasi bunga di taman jiwaku
Kusadari banyak yang inginkan kamu
Berharap kamu untuk aku selamanya (selamanya)
Mungkin aku tak setampan Romeo
Aku juga tak bergelimang harta
Namun, tak kusangka dapatkan dirimu
Yang lebih indah dari seorang Juliet
Wo-oh-oh-oh-ho, ho-ho
Mungkin aku tak setampan Romeo
Aku juga tak bergelimang harta
Namun, tak kusangka dapatkan dirimu
Yang lebih indah dari seorang Juliet (seorang Juliet, oh-ho, oh-ho)
Mungkin aku tak setampan Romeo
Aku juga tak bergelimang harta
Mungkin aku tak setampan Romeo
Aku juga tak bergelimang harta
Namun, tak kusangka dapatkan dirimu
Yang lebih indah dari seorang Juliet
Na, na-na-na-na, na-na, na-na
Namun, tak kusangka dapatkan dirimu
Yang lebih indah dari seorang Juliet
Seorang Juliet",2010,senang
tanpa bintang,aurel hermansyah. anang hermansyah,Pop,"Sepi ini tak kan membunuh kita
Karena kita selalu bersama
Bersamanya kita harus bahagia
Melawan semua aral yang ada
Bersama
Aku dan kamu selalu bersama
Habiskan malam walau tanpa bintang
Aku dan kamu saling berpelukan
Membunuh malam hingga pagi menjelang
Bersama selamanya oh
Sepi ini tak kan membunuh kita
Karena kita selalu bersama
Bersamanya kita harus bahagia
Melawan semua aral yang ada
Bersama
Aku dan kamu selalu bersama
Habiskan malam walau tanpa bintang
Aku dan kamu saling berpelukan
Membunuh malam hingga pagi menjelang
Berdua selamanya
Cinta aku seluas samudera
Sayang aku tak akan pudar
Cinta aku aku dan kamu selamanya
Aku dan kamu selalu bersama
Habiskan malam walau tanpa bintang
Aku dan kamu saling berpelukan
Membunuh malam hingga pagi menjelang
Aku dan kamu selalu bersama
Habiskan malam walau tanpa bintang
Aku dan kamu saling berpelukan
Membunuh malam hingga pagi menjelang
Berdua selamanya selamanya
Selamanya",2010,tenang
dia dia dia,afgan,Pop,"Akhirnya, akhirnya aku temukan
Uh, wajah yang mengalihkan duniaku, ho-oh-uh-ho
Membuat diriku sungguh-sungguh tak berhenti mengejar pesonanya
'Kan kuberikan yang terbaik 'tuk membuktikan cinta kepadanya
Dia, dia, dia, cinta yang kutunggu, tunggu, tunggu
Dia, dia, dia lengkapi hidupku
Dia, dia, dia, cinta yang 'kan mampu, mampu, mampu
Menemaniku, mewarnai hidupku
uh
Baiknya, putihnya bidadariku (bidadariku), oh-oh-ho
Cantiknya hiasi hari-hariku (hari-hariku)
Membuat diriku sungguh-sungguh tak berhenti mengejar pesonanya
'Kan kuberikan yang terbaik 'tuk membuktikan cinta kepadanya
Dia, dia, dia, cinta yang kutunggu, tunggu, tunggu
Dia, dia, dia lengkapi hidupku
Dia, dia, dia, cinta yang 'kan mampu, mampu, mampu
Menemaniku, mewarnai hidupku
Dia, dia, dia, cinta yang kutunggu, tunggu, tunggu (kutunggu, yeah-yeah)
Dia, dia, dia lengkapi hidupku (lengkapi hidupku)
Dia, dia, dia, cinta yang 'kan mampu, mampu, mampu
Menemaniku, mewarnai hidupku
Dia, dia, dia, cinta yang kutunggu, tunggu, tunggu
Dia, dia, dia lengkapi hidupku (hidupku)
Dia, dia, dia, cinta yang 'kan mampu, mampu, mampu
Menemaniku, mewarnai hidupku
oh-uh",2010,senang
sampai akhir waktu,yovie & nuno,Pop,"Ku akan datang lagi
Meski ibumu melarang
Kutunjukkan kesungguhan
Untuk miliki dirimu
Yang kuingin bukan sekedar
Hanya untuk pacaran
Yang kumau memberikan seluruh cinta
Sampai akhir waktu nanti
Ho, walau rintangan yang selalu datang
Aku takkan pernah mundur
Walau tantangan tak pernah berhenti
Cinta takkan pernah mati
Yang kuingin bukan sekedar
Hanya untuk pacaran
Yang kumau memberikan seluruh cinta
Sampai akhir waktu nanti, yeah
Aku tak main-main
Dengan semua ini
Oh (aku akan datang lagi)
Meski ibumu melarang, wo
(Kutunjukkan kesungguhan)
Untuk miliki dirimu
Yang kuingin bukan sekedar
Hanya untuk pacaran
Yang kumau memberikan seluruh cinta
Sampai akhir waktu nanti
Sampai akhir waktu nanti
Cintaku sepanjang masa
Du-du-du-du-du-du-du",2010,marah
mengejar mimpi,yovie & nuno,Pop,"Dan semenjak ada dia
Kamu bukan kamu yang seperti dulu
Tiada lagi kisah indah
Dan kini ku sendiri berteman bayangmu
Malam kini berganti
Sunyi, sepi untukku
Meskipun engkau telah pergi
Mungkin takkan kembali
Aku di sini, tetap di sini, Sayangku
Aku masih rindu padamu
Aku masih sayang padamu
Meski kini cintamu bukan aku
Dan kini aku tahu
Jendela hatimu tertutup untukku
Ingin kulihat lagi
Wajah yang selalu kurindu
Meskipun engkau telah pergi
Mungkin takkan kembali
Aku di sini, tetap di sini, Sayangku
Aku masih rindu padamu
Aku masih sayang padamu
Meski kini cintamu bukan aku
Ingin rasa aku berlari
Walau hanya mengejar mimpi, wo-wo
Aku masih rindu padamu
Aku masih sayang padamu
(Meski kini cintamu bukan aku)
Meskipun engkau telah pergi (pergi)
Mungkin takkan kembali (kembali)
Aku di sini, tetap di sini, Sayangku
Aku masih rindu padamu
Aku masih sayang padamu
Meski kini cintamu bukan aku
Meski kini cintamu bukan aku
Oh-oh-oh-oh-oh",2010,sedih
manusia biasa,yovie & nuno,Pop,"Masih kuingat selalu
Saat kau berjanji padaku
Takkan pernah ada cinta yang lainnya
Terasa begitu indah
Tapi semua berbeda
Saat kaukenali dirinya
Sadarkah dirimu diriku terluka
Saat kausebut namanya?
Aku memang manusia biasa
Yang tak sempurna dan kadang salah
Namun, di hatiku hanya satu
Cinta untukmu luar biasa
Andaikan saja kau tahu
Aku takkan mudah berubah
Aku 'kan bertahan, selalu bertahan
Sampai waktu memanggilku
Aku memang manusia biasa
Yang tak sempurna dan kadang salah
Namun, di hatiku hanya satu
Cinta untukmu luar biasa
Ke manakah dirimu
Yang dulu cinta aku?
Di manakah dirimu
Yang s'lalu merindukanku? (Oh-wo)
Aku memang manusia biasa
Yang tak sempurna dan kadang salah
Namun, di hatiku hanya satu
Cinta untukmu luar biasa (oh)
Aku memang manusia biasa
Yang tak sempurna dan kadang salah
Namun, di hatiku hanya satu
Cinta untukmu luar biasa
Namun, di hatiku hanya satu
Cinta untukmu luar biasa
Cinta untukmu luar biasa
Oh-oh-oh-oh-oh-uh",2010,sedih
serba salah,raisa,Pop,"Harus ku akui semuanya telah berbeda
Lelah menjalani semua serba salah
Apalagi salahku, apalagi salahmu, ku tak mengerti
Apalagi salahku, apalagi salahmu, apalagi

Sudah lupakan segala cerita antara kita
Ku tak ingin, ku tak ingin, ku tak ingin
Ku terluka karena cinta, karana cinta

Lelah menjalani semua serba salah
Apalagi salahku, apalagi salahmu, ku tak mengerti
Apalagi salahku, dan apalagi salahmu, apalagi

Sudah lupakan segala cerita antara kita
Ku tak ingin, ku tak ingin, ku tak ingin kau terluka karena cinta
Bukan karena rasa itu tlah sirna, maafkanlah
Ku hanya tak ingin, ku tak ingin, ku tak ingin ku terluka karena cinta

Oh bukan ku tak berharap kembali padamu
Tapi pahami ku tak ingin, ku tak ingin terluka yeah yeah yeah

Sudah lupakan segala cerita antara kita
Ku tak ingin, ku tak ingin, ku tak ingin kau terluka karena cinta
Dan bukan karena rasa itu tlah sirna, maafkanlah
Ku hanya tak ingin, ku tak ingin, ku tak ingin ku terluka karena cinta

(tak ingin, tak ingin, tak ingin kau terluka)
(tak ingin, tak ingin, tak ingin ku terluka) lupakanlah semuanya
(tak ingin, tak ingin, tak ingin kau terluka) ku tak ingin kau terluka karena cinta

(tak ingin, tak ingin, tak ingin kau terluka)
(tak ingin, tak ingin, tak ingin ku terluka) tak ingin kau terluka
(tak ingin, tak ingin, tak ingin kau terluka)",2011,sedih
tempat terakhir,padi,Pop,"Meskipun aku di surga
Mungkin aku tak bahagia
Bahagiaku tak sempurna
Bila itu tanpamu ho na
Lama sudah kau menemani
Langkah kaki di sepanjang
Perjalanan hidup penuh cerita
Kau adalah bagian hidupku
Dan akupun menjadi bagian
Dalam hidupmu yang tak terpisah
Kau bagaikan angin
Di bawah sayapku
Sendiri aku tak bisa seimbang
Apa jadinya bila kau tak di sisi
Meskipun aku di surga
Mungkin aku tak bahagia
Bahagiaku tak sempurna
Bila itu tanpamu
Aku ingin kau menjadi
Bidadariku di sana
Tempat terakhir melabuhkan
Hidup di keabadian oh
Bila nanti aku kehilangan
Mungkin itu hanya sesaat
Karena ku yakin kita kan bertemu lagi
Kau bagaikan angin
Di bawah sayapku
Sendiri aku tak bisa seimbang
Apa jadinya bila kau tak di sisi
Meskipun aku di surga
Mungkin aku tak bahagia
Bahagiaku tak sempurna
Bila itu tanpamu
Aku ingin kau menjadi
Bidadariku di sana
Tempat terakhir melabuhkan
Hidup di keabadian ho yeah
Na na na na tanpamu ku tak akan sama
Meskipun aku di surga
Mungkin aku tak bahagia
Bahagiaku tak sempurna
Bila itu tanpamu
Aku ingin kau menjadi
Bidadariku di sana
Tempat terakhir melabuhkan
Hidup di keabadian
Meskipun aku di surga
Mungkin aku tak bahagia
Bahagiaku tak sempurna
Bila itu tanpamu
Aku ingin kau menjadi
Bidadariku di sana
Tempat terakhir melabuhkan
Hidup di keabadian na na na",2011,sedih
